list_name,name,label,Type,GrowthHabitSub,Duration,Foliar,fulllist
PlantsList,N,N     None,None,None,NA,NA,NA
PlantsList,HL,HL     Herbaceous Litter,NonPlant,NonPlant,NA,NA,Y
PlantsList,WL,WL     Woody Litter > 5 mm,NonPlant,NonPlant,NA,NA,Y
PlantsList,NL,NL     Other Litter (plastic metal decaying animal tissue),NonPlant,NonPlant,NA,NA,Y
PlantsList,DS,DS     Deposited soil overlying live plant base,NonPlant,NonPlant,NA,NA,Y
PlantsList,VL,VL     Vagrant Lichen,NonPlant,NonPlant,NA,NA,Y
PlantsList,GR,GR     Gravel overlying plant base,NonPlant,NonPlant,NonPlant,NA,Y
PlantsList,CB,CB     Cobble overlying plant base,NonPlant,NonPlant,NonPlant,NA,Y
PlantsList,ST,ST     Stone overlying plant base,NonPlant,NonPlant,NonPlant,NA,Y
PlantsList,ACHY,ACHY    Achnatherum hymenoides (Roem. & Schult.) Barkworth    Indian ricegrass,NonWoody,Graminoid,Perennial,Y,Y
PlantsList,ACLE9,ACLE9    Achnatherum lettermanii (Vasey) Barkworth    Letterman s needlegrass,NonWoody,Graminoid,Perennial,Y,Y
PlantsList,ACPI2,ACPI2    Achnatherum pinetorum (M.E. Jones) Barkworth    pine needlegrass,NonWoody,Graminoid,Perennial,Y,Y
PlantsList,AGCR,AGCR    Agropyron cristatum    crested wheatgrass,NonWoody,Graminoid,Perennial,Y,Y
PlantsList,ALDE,ALDE    Alyssum desertorum Stapf    desert madwort,NonWoody,Forb,Annual,Y,Y
PlantsList,AMAL2,AMAL2    Amelanchier alnifolia    Saskatoon serviceberry,Woody,Shrub,Perennial,Y,Y
PlantsList,AMUT,AMUT    Amelanchier utahensis    Utah serviceberry,Woody,Shrub,Perennial,Y,Y
PlantsList,ANSE4,ANSE4    Androsace septentrionalis    northern rock-jasmine pygmyflower rock-jasmine,NonWoody,Forb,Annual,Y,Y
PlantsList,ARFR4,ARFR4    Artemisia frigida    Fringed sagewort,Woody,SubShrub,Perennial,Y,Y
PlantsList,ARNO4,ARNO4    Artemisia nova    black sagebrush,Woody,Shrub,Perennial,Y,Y
PlantsList,ARTRV,ARTRV    Artemisia tridentata ssp. vaseyana    mountain sagebrush mountain big sagebrush,Woody,Shrub,Perennial,Y,Y
PlantsList,ARTRW8,ARTRW8    Artemisia tridentata Nutt. ssp. wyomingensis Beetle & Young    Wyoming big sagebrush,Woody,Shrub,Perennial,Y,Y
PlantsList,ATCO,ATCO    Atriplex confertifolia (Torr. & Frém.) S. Watson    shadscale saltbush,Woody,Shrub,Perennial,Y,Y
PlantsList,BRTE,BRTE    Bromus tectorum    cheatgrass cheatgrass brome,NonWoody,Graminoid,Annual,Y,Y
PlantsList,BOGR2,BOGR2    Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths    blue grama,NonWoody,Graminoid,Perennial,Y,Y
PlantsList,CADU6,CADU6    Carex duriuscula C.A. Mey.    needleleaf sedge,NonWoody,Sedge,Perennial,Y,Y
PlantsList,CAGE,CAGE    Carex geophila (bunch)    White Mountain sedge,NonWoody,Sedge,Perennial,Y,Y
PlantsList,CAGE2,CAGE2    Carex geyeri Boott    Geyer s sedge,NonWoody,Sedge,Perennial,Y,Y
PlantsList,CAFL7,CAFL7    Castilleja flava S. Watson    yellow Indian paintbrush,NonWoody,Forb,Perennial,Y,Y
PlantsList,CAIN14,CAIN14    Castilleja integra A. Gray    wholeleaf Indian paintbrush,NonWoody,Forb,Perennial,Y,Y
PlantsList,CALI4,CALI4    Castilleja linariifolia Benth.    Wyoming paintbrush,NonWoody,Forb,Perennial,Y,Y
PlantsList,CEMO2,CEMO2    Cercocarpus montanus Raf.    alderleaf mountain mahogany,Woody,Shrub,Perennial,Y,Y
PlantsList,CHDE2,CHDE2    Chrysothamnus depressus Nutt.    longflower rabbitbrush,Woody,Shrub,Perennial,Y,Y
