"Accepted Symbol","Synonym Symbol","Scientific Name","Family","Duration","Growth Habit","Native Status"
"ABIES","","Abies","Pinaceae","","","L48(I,N)CAN(N)SPM(N)"
"ABCO","","Abies concolor","Pinaceae","Perennial","Tree","L48(N)"
"ABLA","","Abies lasiocarpa","Pinaceae","Perennial","Tree","L48(N)AK(N)CAN(N)"
"ABLAA","","Abies lasiocarpa var. arizonica","Pinaceae","Perennial","Tree","L48(N)"
"ABLAL","","Abies lasiocarpa var. lasiocarpa","Pinaceae","Perennial","Tree","L48(N)AK(N)CAN(N)"
"ABRON","","Abronia","Nyctaginaceae","","","L48(N)CAN(N)"
"ABAR","","Abronia argillosa","Nyctaginaceae","Perennial","Forb/herb","L48(N)"
"ABCA","","Abronia carletonii","Nyctaginaceae","Perennial","Forb/herb","L48(N)"
"ABEL","","Abronia elliptica","Nyctaginaceae","Perennial","Forb/herb","L48(N)"
"ABFR2","","Abronia fragrans","Nyctaginaceae","Perennial","Forb/herb","L48(N)"
"ABNA","","Abronia nana","Nyctaginaceae","Perennial","Forb/herb","L48(N)"
"ABNAN","","Abronia nana var. nana","Nyctaginaceae","Perennial","Forb/herb","L48(N)"
"ABUTI","","Abutilon","Malvaceae","","","L48(I,N)CAN(I)"
"ABIN","","Abutilon incanum","Malvaceae","Perennial","Subshrub, Forb/herb","L48(N)HI(N)"
"ABPA3","","Abutilon parvulum","Malvaceae","Perennial","Subshrub, Forb/herb","L48(N)"
"ABTH","","Abutilon theophrasti","Malvaceae","Annual","Forb/herb","L48(I)CAN(I)"
"ACARO2","","Acarospora","Acarosporaceae","","","NA(N)"
"ACER","","Acer","Aceraceae","","","L48(I,N)CAN(I,N)SPM(N)"
"ACGL","","Acer glabrum","Aceraceae","Perennial","Shrub, Tree","L48(N)AK(I?)CAN(N)"
"ACGLG2","","Acer glabrum var. glabrum","Aceraceae","Perennial","Shrub, Tree","L48(N)"
"ACGLN2","","Acer glabrum var. neomexicanum","Aceraceae","Perennial","Tree, Shrub","L48(N)"
"ACGR3","","Acer grandidentatum","Aceraceae","Perennial","Tree, Shrub","L48(N)"
"ACGRG","","Acer grandidentatum var. grandidentatum","Aceraceae","Perennial","Shrub, Tree","L48(N)"
"ACNE2","","Acer negundo","Aceraceae","Perennial","Tree","L48(N)CAN(N)"
"ACNEI2","","Acer negundo var. interius","Aceraceae","Perennial","Tree","L48(N)"
"ACNEN","","Acer negundo var. negundo","Aceraceae","Perennial","Tree","L48(N)CAN(N)"
"ACNEV","","Acer negundo var. violaceum","Aceraceae","Perennial","Tree","L48(N)"
"ACHIL","","Achillea","Asteraceae","","","L48(I,N)CAN(I,N)GL(I,N)SPM(I,N)"
"ACMI2","","Achillea millefolium","Asteraceae","Perennial","Forb/herb","L48(I,N)AK(N)HI(I)CAN(NI)GL(N)SPM(NI)"
"ACMIA","","Achillea millefolium var. alpicola","Asteraceae","Perennial","Forb/herb","L48(N)AK(N)"
"ACMIO","","Achillea millefolium var. occidentalis","Asteraceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)GL(N)SPM(N)"
"ACHNA","","Achnatherum","Poaceae","","","L48(I,N)CAN(N)"
"ACBL","","Achnatherum ×bloomeri","Poaceae","Perennial","Graminoid","L48(N)"
"ACAR14","","Achnatherum aridum","Poaceae","Perennial","Graminoid","L48(N)"
"ACCO22","","Achnatherum contractum","Poaceae","Perennial","Graminoid","L48(N)"
"ACHY","","Achnatherum hymenoides","Poaceae","Perennial","Graminoid","L48(N)CAN(N)"
"ACLE9","","Achnatherum lettermanii","Poaceae","Perennial","Graminoid","L48(N)"
"ACNE9","","Achnatherum nelsonii","Poaceae","Perennial","Graminoid","L48(N)CAN(N)"
"ACNED","","Achnatherum nelsonii ssp. dorei","Poaceae","Perennial","Graminoid","L48(N)CAN(N)"
"ACNEN2","","Achnatherum nelsonii ssp. nelsonii","Poaceae","Perennial","Graminoid","L48(N)CAN(N)"
"ACNE10","","Achnatherum nevadense","Poaceae","Perennial","Graminoid","L48(N)"
"ACOC3","","Achnatherum occidentale","Poaceae","Perennial","Graminoid","L48(N)CAN(N)"
"ACOCP","","Achnatherum occidentale ssp. pubescens","Poaceae","Perennial","Graminoid","L48(N)CAN(N)"
"ACPI2","","Achnatherum pinetorum","Poaceae","Perennial","Graminoid","L48(N)"
"ACRI8","","Achnatherum richardsonii","Poaceae","Perennial","Graminoid","L48(N)AK(I)CAN(N)"
"ACRO7","","Achnatherum robustum","Poaceae","Perennial","Graminoid","L48(N)"
"ACSC11","","Achnatherum scribneri","Poaceae","Perennial","Graminoid","L48(N)"
"ACSP12","","Achnatherum speciosum","Poaceae","Perennial","Graminoid","L48(N)"
"ACTH7","","Achnatherum thurberianum","Poaceae","Perennial","Graminoid","L48(N)"
"ACWE3","","Achnatherum webberi","Poaceae","Perennial","Graminoid","L48(N)"
"ACONI","","Aconitum","Ranunculaceae","","","L48(I,N)CAN(GP)"
"ACCO4","","Aconitum columbianum","Ranunculaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"ACCOC3","","Aconitum columbianum ssp. columbianum","Ranunculaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"ACORU","","Acorus","Acoraceae","","","L48(I,N)CAN(I,N)"
"ACCA4","","Acorus calamus","Acoraceae","Perennial","Forb/herb","L48(I)CAN(I)"
"ACROP","","Acroptilon","Asteraceae","","","L48(I)CAN(I)"
"ACRE3","","Acroptilon repens","Asteraceae","Perennial","Forb/herb","L48(I)CAN(I)"
"ACTAE","","Actaea","Ranunculaceae","","","L48(I,N)CAN(N)"
"ACRU2","","Actaea rubra","Ranunculaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
