"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Common Name","Family"
"ABIES","","ABIES","Abies","fir","Pinaceae"
"ABCO","","ABCO","Abies concolor","white fir","Pinaceae"
"ABCO","ABCOC","ABCOC","Abies concolor var. concolor","",""
"ABLA","","ABLA","Abies lasiocarpa","subalpine fir","Pinaceae"
"ABLAA","","ABLAA","Abies lasiocarpa var. arizonica","corkbark fir","Pinaceae"
"ABLAA","ABAR2","ABAR2","Abies arizonica","",""
"ABLAL","","ABLAL","Abies lasiocarpa var. lasiocarpa","subalpine fir","Pinaceae"
"ABLAL","ABBAF","ABBAF","Abies balsamea var. fallax","",""
"ABLAL","ABBAL","ABBAL","Abies balsamea ssp. lasiocarpa","",""
"ABLAL","ABBI3","ABBI3","Abies bifolia","",""
"ABLAL","ABLAB","ABLAB","Abies lasiocarpa ssp. bifolia","",""
"ABLAL","ABLAB2","ABLAB2","Abies lasiocarpa var. bifolia","",""
"ABLAL","ABSU","ABSU","Abies subalpina","",""
"ABRON","","ABRON","Abronia","sand verbena","Nyctaginaceae"
"ABAR","","ABAR","Abronia argillosa","clay sand verbena","Nyctaginaceae"
"ABCA","","ABCA","Abronia carletonii","Carleton's sand verbena","Nyctaginaceae"
"ABEL","","ABEL","Abronia elliptica","fragrant white sand verbena","Nyctaginaceae"
"ABEL","ABFRE2","ABFRE2","Abronia fragrans var. elliptica","",""
"ABEL","ABPU2","ABPU2","Abronia pumila","",""
"ABEL","ABRA","ABRA","Abronia ramosa","",""
"ABEL","ABSA3","ABSA3","Abronia salsa","",""
"ABFR2","","ABFR2","Abronia fragrans","snowball sand verbena","Nyctaginaceae"
"ABFR2","ABFRG2","ABFRG2","Abronia fragrans var. glaucescens","",""
"ABNA","","ABNA","Abronia nana","dwarf sand verbena","Nyctaginaceae"
"ABNAN","","ABNAN","Abronia nana var. nana","dwarf sand verbena","Nyctaginaceae"
"ABNAN","ABNAL","ABNAL","Abronia nana var. lanciformis","",""
"ABUTI","","ABUTI","Abutilon","Indian mallow","Malvaceae"
"ABIN","","ABIN","Abutilon incanum","pelotazo","Malvaceae"
"ABIN","ABINI","ABINI","Abutilon incanum ssp. incanum","",""
"ABIN","ABINP","ABINP","Abutilon incanum ssp. pringlei","",""
"ABIN","ABPR4","ABPR4","Abutilon pringlei","",""
"ABPA3","","ABPA3","Abutilon parvulum","dwarf Indian mallow","Malvaceae"
"ABTH","","ABTH","Abutilon theophrasti","velvetleaf","Malvaceae"
"ABTH","ABAB3","ABAB3","Abutilon abutilon","",""
"ABTH","ABAV","ABAV","Abutilon avicennae","",""
"ACARO2","","ACARO2","Acarospora","cracked lichen","Acarosporaceae"
"ACER","","ACER","Acer","maple","Aceraceae"
"ACGL","","ACGL","Acer glabrum","Rocky Mountain maple","Aceraceae"
"ACGLG2","","ACGLG2","Acer glabrum var. glabrum","Rocky Mountain maple","Aceraceae"
"ACGLG2","ACGLT3","ACGLT3","Acer glabrum var. tripartitum","",""
"ACGLG2","ACGLT4","ACGLT4","Acer glabrum var. typicum","",""
"ACGLG2","ACTR3","ACTR3","Acer tripartitum","",""
"ACGLN2","","ACGLN2","Acer glabrum var. neomexicanum","New Mexico maple","Aceraceae"
"ACGLN2","ACGLN","ACGLN","Acer glabrum ssp. neomexicanum","",""
"ACGLN2","ACGLP","ACGLP","Acer glabrum var. parviflorum","",""
"ACGLN2","ACNE6","ACNE6","Acer neomexicanum","",""
"ACGR3","","ACGR3","Acer grandidentatum","bigtooth maple","Aceraceae"
"ACGRG","","ACGRG","Acer grandidentatum var. grandidentatum","bigtooth maple","Aceraceae"
"ACGRG","ACSAG2","ACSAG2","Acer saccharum ssp. grandidentatum","",""
"ACGRG","ACSAG3","ACSAG3","Acer saccharum var. grandidentatum","",""
"ACGRG","SAGR17","SAGR17","Saccharodendron grandidentatum","",""
"ACNE2","","ACNE2","Acer negundo","boxelder","Aceraceae"
"ACNEI2","","ACNEI2","Acer negundo var. interius","boxelder","Aceraceae"
"ACNEI2","ACIN3","ACIN3","Acer interius","",""
"ACNEI2","ACNEI","ACNEI","Acer negundo ssp. interius","",""
"ACNEI2","NEACI","NEACI","Negundo aceroides ssp. interius","",""
"ACNEI2","NEIN3","NEIN3","Negundo interius","",""
"ACNEN","","ACNEN","Acer negundo var. negundo","boxelder","Aceraceae"
"ACNEN","ACNEV2","ACNEV2","Acer negundo var. variegatum","",""
"ACNEN","NEAC","NEAC","Negundo aceroides","",""
"ACNEN","NENE","NENE","Negundo negundo","",""
"ACNEV","","ACNEV","Acer negundo var. violaceum","boxelder","Aceraceae"
"ACNEV","NEACV","NEACV","Negundo aceroides ssp. violaceum","",""
"ACHIL","","ACHIL","Achillea","yarrow","Asteraceae"
"ACMI2","","ACMI2","Achillea millefolium","common yarrow","Asteraceae"
"ACMIA","","ACMIA","Achillea millefolium var. alpicola","common yarrow","Asteraceae"
"ACMIA","ACAL11","ACAL11","Achillea alpicola","",""
"ACMIA","ACFU","ACFU","Achillea fusca","",""
"ACMIA","ACLAA","ACLAA","Achillea lanulosa ssp. alpicola","",""
"ACMIA","ACLAA2","ACLAA2","Achillea lanulosa var. alpicola","",""
"ACMIA","ACMIF","ACMIF","Achillea millefolium var. fusca","",""
"ACMIA","ACSU3","ACSU3","Achillea subalpina","",""
"ACMIO","","ACMIO","Achillea millefolium var. occidentalis","western yarrow","Asteraceae"
"ACMIO","ACAN7","ACAN7","Achillea angustissima","",""
"ACMIO","ACAS2","ACAS2","Achillea aspleniifolia","",""
"ACMIO","ACER2","ACER2","Achillea eradiata","",""
"ACMIO","ACGR5","ACGR5","Achillea gracilis","",""
"ACMIO","ACLA3","ACLA3","Achillea laxiflora","",""
"ACMIO","ACLA5","ACLA5","Achillea lanulosa","",""
"ACMIO","ACLAA3","ACLAA3","Achillea lanulosa var. arachnoidea","",""
"ACMIO","ACLAE","ACLAE","Achillea lanulosa var. eradiata","",""
"ACMIO","ACLAT","ACLAT","Achillea lanulosa ssp. typica","",""
"ACMIO","ACMIA4","ACMIA4","Achillea millefolium var. aspleniifolia","",""
"ACMIO","ACMIG2","ACMIG2","Achillea millefolium var. gracilis","",""
"ACMIO","ACMIL","ACMIL","Achillea millefolium ssp. lanulosa","",""
"ACMIO","ACMIL3","ACMIL3","Achillea millefolium var. lanulosa","",""
"ACMIO","ACMIO2","ACMIO2","Achillea millefolium ssp. occidentalis","",""
"ACMIO","ACMIP5","ACMIP5","Achillea millefolium ssp. pallidotegula","",""
"ACMIO","ACMIR","ACMIR","Achillea millefolium var. rosea","",""
"ACMIO","ACMIR2","ACMIR2","Achillea millefolium var. russeolata","",""
"ACMIO","ACOC","ACOC","Achillea occidentalis","",""
"ACMIO","ACRO4","ACRO4","Achillea rosea","",""
"ACMIO","ACTO3","ACTO3","Achillea tomentosa","",""
"ACHNA","","ACHNA","Achnatherum","needlegrass","Poaceae"
"ACBL","","ACBL","Achnatherum ×bloomeri","","Poaceae"
"ACBL","ORBL","ORBL","Oryzopsis bloomeri","",""
"ACBL","STBL4","STBL4","Stipa bloomeri","",""
"ACBL","STBL5","STBL5","Stiporyzopsis bloomeri","",""
"ACAR14","","ACAR14","Achnatherum aridum","Mormon needlegrass","Poaceae"
"ACAR14","STAR2","STAR2","Stipa arida","",""
"ACCO22","","ACCO22","Achnatherum contractum","contracted ricegrass","Poaceae"
"ACCO22","ORCO3","ORCO3","Oryzopsis contracta","",""
"ACCO22","ORHYC","ORHYC","Oryzopsis hymenoides var. contracta","",""
"ACCO22","STCO11","STCO11","Stipa contracta","",""
"ACHY","","ACHY","Achnatherum hymenoides","Indian ricegrass","Poaceae"
"ACHY","ERCU9","ERCU9","Eriocoma cuspidata","",""
"ACHY","ORHY","ORHY","Oryzopsis hymenoides","",""
"ACHY","STHY6","STHY6","Stipa hymenoides","",""
"ACLE9","","ACLE9","Achnatherum lettermanii","Letterman's needlegrass","Poaceae"
"ACLE9","STLE4","STLE4","Stipa lettermanii","",""
"ACNE9","","ACNE9","Achnatherum nelsonii","Columbia needlegrass","Poaceae"
"ACNED","","ACNED","Achnatherum nelsonii ssp. dorei","Dore's needlegrass","Poaceae"
"ACNED","ACNED2","ACNED2","Achnatherum nelsonii var. dorei","",""
"ACNED","STCO3","STCO3","Stipa columbiana","",""
"ACNED","STMI6","STMI6","Stipa minor","",""
"ACNED","STNED","STNED","Stipa nelsonii ssp. dorei","",""
"ACNED","STNED2","STNED2","Stipa nelsonii var. dorei","",""
"ACNED","STOCM","STOCM","Stipa occidentalis var. minor","",""
"ACNEN2","","ACNEN2","Achnatherum nelsonii ssp. nelsonii","Columbia needlegrass","Poaceae"
"ACNEN2","STCON2","STCON2","Stipa columbiana var. nelsonii","",""
"ACNEN2","STNE3","STNE3","Stipa nelsonii","",""
"ACNEN2","STOCN","STOCN","Stipa occidentalis var. nelsonii","",""
"ACNEN2","STWI","STWI","Stipa williamsii","",""
"ACNE10","","ACNE10","Achnatherum nevadense","Nevada needlegrass","Poaceae"
"ACNE10","STNE4","STNE4","Stipa nevadensis","",""
"ACOC3","","ACOC3","Achnatherum occidentale","western needlegrass","Poaceae"
"ACOCP","","ACOCP","Achnatherum occidentale ssp. pubescens","pubescent western needlegrass","Poaceae"
"ACOCP","STEL2","STEL2","Stipa elmeri","",""
"ACOCP","STOCP","STOCP","Stipa occidentalis var. pubescens","",""
"ACPI2","","ACPI2","Achnatherum pinetorum","pine needlegrass","Poaceae"
"ACPI2","STPI2","STPI2","Stipa pinetorum","",""
"ACRI8","","ACRI8","Achnatherum richardsonii","Richardson's needlegrass","Poaceae"
"ACRI8","STRI2","STRI2","Stipa richardsonii","",""
"ACRO7","","ACRO7","Achnatherum robustum","sleepygrass","Poaceae"
"ACRO7","STRO3","STRO3","Stipa robusta","",""
"ACRO7","STVA4","STVA4","Stipa vaseyi","",""
"ACSC11","","ACSC11","Achnatherum scribneri","Scribner needlegrass","Poaceae"
"ACSC11","STSC2","STSC2","Stipa scribneri","",""
"ACSP12","","ACSP12","Achnatherum speciosum","desert needlegrass","Poaceae"
"ACSP12","STSP3","STSP3","Stipa speciosa","",""
"ACTH7","","ACTH7","Achnatherum thurberianum","Thurber's needlegrass","Poaceae"
"ACTH7","STTH2","STTH2","Stipa thurberiana","",""
"ACWE3","","ACWE3","Achnatherum webberi","Webber needlegrass","Poaceae"
"ACWE3","ORWE","ORWE","Oryzopsis webberi","",""
"ACWE3","STWE","STWE","Stipa webberi","",""
"ACONI","","ACONI","Aconitum","monkshood","Ranunculaceae"
"ACCO4","","ACCO4","Aconitum columbianum","Columbian monkshood","Ranunculaceae"
"ACCOC3","","ACCOC3","Aconitum columbianum ssp. columbianum","Columbian monkshood","Ranunculaceae"
"ACCOC3","ACCOB","ACCOB","Aconitum columbianum var. bakeri","",""
"ACCOC3","ACCOO","ACCOO","Aconitum columbianum var. ochroleucum","",""
"ACCOC3","ACCOP","ACCOP","Aconitum columbianum ssp. pallidum","",""
"ACCOC3","ACGE3","ACGE3","Aconitum geranioides","",""
"ACCOC3","ACLE6","ACLE6","Aconitum leibergii","",""
"ACCOC3","ACMO3","ACMO3","Aconitum mogollonicum","",""
"ACORU","","ACORU","Acorus","sweetflag","Acoraceae"
"ACCA4","","ACCA4","Acorus calamus","calamus","Acoraceae"
"ACROP","","ACROP","Acroptilon","hardheads","Asteraceae"
"ACRE3","","ACRE3","Acroptilon repens","hardheads","Asteraceae"
"ACRE3","CEPI3","CEPI3","Centaurea picris","",""
