Symbol,Scientific Name,Common Name,Family
ABCOC,Abies concolor var. concolor,white fir,Pinaceae
ABAR2,Abies arizonica,corkbark fir,Pinaceae
ABBAF,Abies balsamea var. fallax,subalpine fir,Pinaceae
ABBAL,Abies balsamea ssp. lasiocarpa,subalpine fir,Pinaceae
ABBI3,Abies bifolia,subalpine fir,Pinaceae
ABLAB,Abies lasiocarpa ssp. bifolia,subalpine fir,Pinaceae
ABLAB2,Abies lasiocarpa var. bifolia,subalpine fir,Pinaceae
ABSU,Abies subalpina,subalpine fir,Pinaceae
ABFRE2,Abronia fragrans var. elliptica,fragrant white sand verbena,Nyctaginaceae
ABPU2,Abronia pumila,fragrant white sand verbena,Nyctaginaceae
ABRA,Abronia ramosa,fragrant white sand verbena,Nyctaginaceae
ABSA3,Abronia salsa,fragrant white sand verbena,Nyctaginaceae
ABFRG2,Abronia fragrans var. glaucescens,snowball sand verbena,Nyctaginaceae
ABNAL,Abronia nana var. lanciformis,dwarf sand verbena,Nyctaginaceae
ABINI,Abutilon incanum ssp. incanum,pelotazo,Malvaceae
ABINP,Abutilon incanum ssp. pringlei,pelotazo,Malvaceae
ABPR4,Abutilon pringlei,pelotazo,Malvaceae
ABAB3,Abutilon abutilon,velvetleaf,Malvaceae
ABAV,Abutilon avicennae,velvetleaf,Malvaceae
ACGLT3,Acer glabrum var. tripartitum,Rocky Mountain maple,Aceraceae
ACGLT4,Acer glabrum var. typicum,Rocky Mountain maple,Aceraceae
ACTR3,Acer tripartitum,Rocky Mountain maple,Aceraceae
ACGLN,Acer glabrum ssp. neomexicanum,New Mexico maple,Aceraceae
ACGLP,Acer glabrum var. parviflorum,New Mexico maple,Aceraceae
ACNE6,Acer neomexicanum,New Mexico maple,Aceraceae
ACSAG2,Acer saccharum ssp. grandidentatum,bigtooth maple,Aceraceae
ACSAG3,Acer saccharum var. grandidentatum,bigtooth maple,Aceraceae
SAGR17,Saccharodendron grandidentatum,bigtooth maple,Aceraceae
ACIN3,Acer interius,boxelder,Aceraceae
ACNEI,Acer negundo ssp. interius,boxelder,Aceraceae
